中文译名,日文原名,,出道年份,备注
荻野目翔子,荻野目翔子（おぎのめ しょうこ）,,1987年,
东 清美,東 清美（あずま きよみ）,,1987年,中 ひろみ
东 桐子,東 桐子（あずま きりこ）,,1987年,藤川 亜纪
石田くみ,石田くみ（いしだ くみ）,,1987年,百瀬まりも
石原圭以子,石原圭以子（いしはら けいこ）,,1987年,百瀬まりも
伊藤冬美,伊藤冬美（いとう ふゆみ）,,1987年,
冈本沙弥,岡本沙弥（おかもと さや）,,1987年,
かがみ爱,かがみ愛（かがみ めぐみ）,,1987年,
风间零,風間零（かざま れい）,,1987年,
北原美枝,北原美枝（かわいさとみ）,,1987年,
河合奈保,河合奈保（かわい なお）,,1987年,
木内玲子,木内玲子（きうち れいこ）,,1987年,
北野洋子,北野洋子（きたの ようこ）,,1987年,
木下絵里花,木下絵里花（きのした えりか）,,1987年,
木村さやか,木村さやか（きむら さやか）,,1987年,
栗原早记,栗原早記（くりはら さき）,,1987年,
渡辺由美,渡辺由美（わたなべ ゆみ）,,1987年,
梁川りお,梁川りお（やながわ りお）,,1987年,早川のぞみ、浜田みどり、星野はるみ、可爱アンナ、染川りお子、芳山知子
山岸めぐみ,山岸めぐみ（やまぎし めぐみ）,,1987年,山岸恵
结城麻美,結城麻美（ゆうき あさみ）,,1987年,
吉田密流,吉田密流（よしだ みつる）,,1987年,
舞坂ゆい,舞坂ゆい（まいさか ゆい）,,1987年,
前原祐子,前原祐子（まえはら ゆうこ）,,1987年,
松川ともみ,松川ともみ（まつかわ ともみ）,,1987年,
岬まどか,岬まどか（みさき まどか）,,1987年,
美穂由纪,美穂由紀（みほ ゆき）,,1987年,
美丽阳子,美麗陽子（みれい ようこ）,,1987年,
林里奈,林里奈（はやし りな）,,1987年,
叶山みどり,葉山みどり（はやま みどり）,,1987年,南风ひろみ（みなみかぜ ひろみ）-日高はるみ（ひだか はるみ）
番匠爱,番匠愛（ばんしょう あい）,,1987年,
姫野真利亜,姫野真利亜（ひめの まりあ）,,1987年,
広田まみ,広田まみ（ひろた まみ）,,1987年,沙绪-広田 まゆみ-高树 なぎさ
藤あかね,藤あかね（ふじ あかね）,,1987年,原田优子、藤木优子
藤沢まりの,藤沢まりの（ふじさわ まりの）,,1987年,
中野理恵,中野理恵（なかの りえ）,,1987年,
高树阳子,高樹陽子（たかぎ ようこ）,,1987年,
高桥めぐみ,高橋めぐみ（たかはし めぐみ）,,1987年,
高原ルミ,高原ルミ（たかはら るみ）,,1987年,高原流美
田中ミカ,田中ミカ（たなか みか）,,1987年,
鸨ルリ子,鴇ルリ子（とき るりこ）,,1987年,
白浜なぎさ,白浜なぎさ（しらはま なぎさ）,,1987年,
白木麻弥,白木麻弥（しらき まや）,,1987年,
沢田ユカ,沢田ユカ（さわだ ゆか）,,1987年,
桜沢ありす,桜沢ありす（さくらざわ ありす）,,1987年,
冴岛奈绪,冴島奈緒（さえじま なお）,,1987年,2012患癌逝世
冈本千夏,岡本千夏（おかもと ちなつ）,,1988年,
冈本百合,岡本 百合（おかもと ゆり）,,1988年,冈村百合-永井夕贵
植田千珈,植田千珈（うえだ ちか）,,1988年,杉本麻央（すぎもと まお）
村上丽奈,村上 麗奈（むらかみ れな）,,1988年,
田中露央沙,田中露央沙（たなか ろおさ）,,1988年,冈崎 美央-多岐川 梨沙
井上美树,井上美樹（いのうえ みき）,,1988年,
石川真理绘,石川 真理絵（いしかわ まりえ）,,1988年,
小森爱,小森愛,,1988年,1988年出道，是宇宙企划培养第一代少女偶像，也拍了不少写真集
松本麻里奈,松本 まりな（まつもと まりな）,,1988年,
鲇川真理,鮎川 真理（あゆかわ まり）,,1988年,
伊藤友美,伊藤友美（いとう ともみ）,,1988年,
浅仓ケイ,浅倉ケイ（あさくら けい）,,1988年,
豊丸,豊丸（とよまる）,,1988年,甲斐 えりか
柏木よしみ,柏木よしみ（かしわぎ よしみ）,,1988年,
香取歩美,香取歩美（かとり ふみ）,,1988年,
叶顺子,叶順子（かのう じゅんこ）,,1988年,
岸本かおる,岸本かおる（きしもと かおる）,,1988年,
桐嶋ゆう,桐嶋ゆう（きりしま ゆう）,,1988年,青山 里美
桐生舞子,桐生舞子（きりゅう まいこ）,,1988年,
小泉朝子,小泉朝子（こいずみ あさこ）,,1988年,
八岛かおる,八島かおる（やじま かおる）,,1988年,
结城つかさ,結城つかさ（ゆうき つかさ）,,1988年,
结城ゆかり,結城ゆかり（ゆうき ゆかり）,,1988年,
牧本千幸,牧本千幸（まきもと ちゆき）,,1988年,
松本まりな,松本まりな（まつもと まりな）,,1988年,
水树亜美,水樹亜美（みずき あみ）,,1988年,あいはら ゆか-三田 香织
村上庆子,村上慶子（むらかみ けいこ）,,1988年,
叶山レイコ,葉山レイコ（はやま れいこ）,,1988年,
日向まこ,日向まこ（ひゅうが まこ）,,1988年,いじり 魔子
広絵美沙,広絵美沙（ひろえ みさ）,,1988年,
藤森真奈,藤森真奈（ふじもり まな）,,1988年,
星野小百合,星野小百合（ほしのさゆり）,,1988年,もこちゃん、优里香
本田静香,本田静香（ほんだ しずか）,,1988年,
直木亜弓,直木亜弓（なおき あゆみ）,,1988年,
长崎みどり,長崎みどり（ながさき みどり）,,1988年,
中岛小夜子,中島小夜子（なかじま さよこ）,,1988年,高円寺 ひかる
中村由贵,中村由貴（なかむら ゆき）,,1988年,なかむら ゆき
仲村梨沙,仲村梨沙（なかむら りさ）,,1988年,
后藤 えり子,後藤 えり子（ごとう えりこ）,,1988年,西崎彩
沼木かほる,沼木かほる（ぬまき かほる）,,1988年,
野沢麻衣,野沢麻衣（のざわ まい）,,1988年,
田中露央沙,田中露央沙（たなか ろおさ）,,1988年,冈崎 美央-多岐川 梨沙
千代君,千代君（ちよぎみ）,,1988年,
远山あかね,遠山あかね（とおやま あかね）,,1988年,
杉森久美子,杉森久美子（すぎもり くみこ）,,1988年,
杉本笑,杉本笑（すぎもと えみ）,,1988年,
沢村杏子,沢村杏子（さわむら きょうこ）,,1988年,
咲田葵,咲田葵（さきた あおい）,,1988年,
坂口兰子,坂口蘭子（さかぐち らんこ）,,1988年,小豊丸
林 由美香,本名 小栗 由美香（はやし ゆみか）,,1989年,2005过世。
松坂季实子,松坂 季実子（まつざか きみこ）,,1989年,
树まり子,樹まり子（いつき まりこ）,,1989年,青木さえ子-树マリ子
明日香ちなみ,明日香ちなみ（あすか ちなみ）,,1989年,
伊藤麻子,伊藤麻子（いとう あさこ）,,1989年,
伊东惠,伊東恵（いとう けい）,,1989年,杉本みゆき
伊藤さやか,伊藤さやか（いとう さやか）,,1989年,
上田美绪,上田美緒（うえだ みお）,,1989年,
秋山美晴,秋山美晴（あきやま みはる）,,1989年,
麻仓ルミ,麻倉ルミ（あさくら るみ）,,1989年,
麻宫千圣,麻宮千聖（あさみや ちさと）,,1989年,
爱川瞳,愛川瞳（あいかわ ひとみ）,,1989年,
柏木ゆかり,柏木ゆかり（柏木ゆかり）,,1989年,いとう しいな-椎名かほり
安藤加奈,安藤加奈（あんどう かな）,,1989年,
大岛理绘,大島理絵（おおしま りえ）,,1989年,
小野由美,小野由美（おの ゆみ）,,1989年,
冈田优奈,岡田優奈（おかだ ゆうな）,,1989年,
浅仓尚美,浅倉尚美（あさくら なおみ）,,1989年,
浅见唯,浅見唯（あさくら なおみ）,,1989年,
浅野しおり,浅野しおり（あさの しおり）,,1989年,
小川つぐみ,小川つぐみ（おがわ つぐみ）,,1989年,
小泽奈美,小沢奈美（おざわ なみ）,,1989年,
朝比奈 树里,朝比奈 樹里（あさひな　じゅり）,,1989年,
爱田ゆう子,愛田ゆう子（あいだ ゆうこ）,,1989年,藤崎真奈
片桐绫,片桐綾（かたぎり あや）,,1989年,
桂木美雪,桂木美雪（かつらぎ みゆき）,,1989年,
川岛优子,川島優子（かわしま ゆうこ）,,1989年,
川原琴美,川原琴美（かわはら ことみ）,,1989年,藤巻ゆかり
神崎めぐみ,神崎めぐみ（かんざき めぐみ）,,1989年,
如月まゆみ,如月まゆみ（きさらぎ まゆみ）,,1989年,
木田彩水,木田彩水（きだ あやみ）,,1989年,
木下裕子,木下裕子（きのした ゆうこ）,,1989年,水树ありさ、工藤リエ
清姫舞,清姫舞（きよひめ まい）,,1989年,
工藤ひとみ,工藤ひとみ（くどう ひとみ）,,1989年,真田なるみ-坂下真巳
山本留美,山本留美（やまもと るみ）,,1989年,
忧花かすみ,憂花かすみ（ゆうか かすみ ）,,1989年,小野爱
梦野まみ,夢野まみ（ゆめの まみ）,,1989年,
青山ちはる,青山ちはる（あおやま ちはる）,,1989年,松下 ルミ
