中文译名,日文原名,,出道年份,备注
あおい若菜,あおい若菜（あおい わかな）,,1997年,
秋川さやか,秋川さやか（あきかわ さやか）,,1997年,
里中玛莉亚,里中まりあ（さとなか まりあ）,,1997年,本名:桑畑由纪子(被射杀)
水野春季,水野はるき（みずの はるき）,,1997年,（引退）
穴井小百合,穴井小百合（あない さゆり）,,1997年,（引退）
麻生祥子,麻生祥子（あそう しょうこ）,,1997年,（引退）
金泽文子,金沢文子（かなざわ ぶんこ）,,1997年,
相川とも子,相川とも子（あいかわ ともこ）,,1997年,
相川未稀,相川未稀（あいかわ みき）,,1997年,
相原凉,相原涼（あいはら りょう）,,1997年,天野未来
天野リエ,天野リエ（あまの りえ）,,1997年,
爱川香理,愛川香理（あいかわ かおり）,,1997年,
爱原ちさと,愛原ちさと（あいはら ちさと）,,1997年,
苍树梨花,蒼樹梨花（あおき りか）,,1997年,
风间由美,風間ゆみ（かざま ゆみ）,,1997年,同铃川ちか、风间ひとみ、风间优美
若菜瀬奈,若菜瀬奈（わかな せな）,,1997年,
山口珠理,山口珠理（やまぐち じゅり）,,1997年,饭田树里
山本瞳,山本瞳（やまもと ひとみ）,,1997年,
夕树亚美,夕樹亜美（ゆうき あみ）,,1997年,
结城绫音,結城綾音（ゆうき あやね）,,1997年,
吉野サリー,吉野サリー（よしの さりー）,,1997年,
吉村彩,吉村彩（よしむら あや）,,1997年,
舞岛美织,舞島美織（まいじま みおり）,,1997年,
真咲麻衣,真咲麻衣（まさき まい）,,1997年,
黛はるか,黛はるか（まゆずみ はるか）,,1997年,
三里ゆりか,三里ゆりか（みさと ゆりか）,,1997年,
水城ちなつ,水城ちなつ（みずき ちなつ）,,1997年,
水泽アンナ,水沢アンナ（みずさわ あんな）,,1997年,
水谷あみ,水谷あみ（みずたに あみ）,,1997年,
水野はるき,水野はるき（みずの はるき）,,1997年,
雏乃燕,雛乃つばめ（ひなの つばめ）,,1998年,（引退）同相原このみ、雏野つばめ
牧本千幸,牧本千幸,,1998年,（前名:つかもと友希/冢本友希 Tsukamoto Yuki）
川岛和津实,川島和津実（かわしま あづみ）,,1998年,（引退）
青木みなみ,青木みなみ（あおき みなみ）,,1998年,（引退）
麻生香,麻生香（あそう かおり）,,1998年,（引退）
绫波凉,綾波涼（あやなみ りょう）,,1998年,近藤かおり、绫波りょう（引退）
相本友希,相本友希（あいもと ゆうき）,,1998年,（引退）
相原このみ,相原このみ（あいはら このみ）,,1998年,雏野つばめ、雏乃つばめ（引退）
浅仓まどか,浅倉まどか（あさくら まどか）,,1998年,（引退）
奈奈见沙织,奈々見沙織（ななみ さおり）,,1998年,（引退）
斋木希奈,斎木 きな（さいき きな）,,1998年,（引退）
有泽成美,有沢成美（ありさわ なるみ）,,1998年,（引退）
爱川香织,愛川香織（あいかわ かおり）,,1998年,（引退）
铃木麻奈美,鈴木麻奈美（すずき まなみ）,,1998年,
赤坂まゆか,赤坂まゆか（あかさか まゆか）,,1998年,叶山梨子
赤坂梨乃,赤坂梨乃（あかさか りの）,,1998年,
秋野しおり,秋野しおり（あきの しおり）,,1998年,
秋本由纪,秋本由紀（あきもと ゆき）,,1998年,
秋山みほ,秋山みほ（あきやま みほ）,,1998年,
朝比奈りり子,朝比奈りり子（あさひな りりこ）,,1998年,
山口ナオミ,山口ナオミ（やまぐち なおみ）,,1998年,
山咲あかり,山咲あかり（やまざき あかり）,,1998年,上原里深
弓月絵梨花,弓月絵梨花（ゆづき えりか）,,1998年,
梦野まりあ,夢野まりあ（ゆめの まりあ）,,1998年,
横仓里奈,横倉里奈（よこくら りな）,,1998年,
吉井美希,吉井美希（よしい みき）,,1998年,伊沢凉子、よしい美希、美希
吉泽美和,吉沢美和（よしざわ みわ）,,1998年,长谷川小夏
吉田えりか,吉田えりか（よしだ えりか ）,,1998年,吉田絵理香、吉冈恵子、りか
舞田奈美,舞田奈美（まいた なみ）,,1998年,
松井里穂,松井里穂（まつい りほ）,,1998年,
松下れい子,松下れい子（まつした れいこ）,,1998年,
松原ひとみ,松原ひとみ（まつばら ひとみ）,,1998年,
松本理沙,松本理沙（まつもと りさ）,,1998年,
美树本まり,美樹本まり（みきもと まり）,,1998年,
美咲留衣,美咲留衣（みさき るい）,,1998年,
水朝美树,水朝美樹（みずあさ みき）,,1998年,“不动美树”
美铃ゆうか,美鈴ゆうか（みすず ゆうか）,,1998年,
水原纪香,水原紀香（みずはら のりか）,,1998年,
长濑爱,長瀬愛（ながせ あい）,,1999年,（引退）
青木绘里,青木絵里（あおき えり）,,1999年,（引退）
秋菜里子,秋菜里子（あきな りこ）,,1999年,（引退）
麻丘里绘,麻丘里絵（あさおか りえ）,,1999年,（引退）
麻仓かほり,麻倉かほり（あさくら かほり）,,1999年,（引退）
麻木菫,麻木菫（あさぎ すみれ）,,1999年,（引退）
有贺凉,有賀涼（ありが りょう）,,1999年,（引退）
秋本优奈,秋本優奈（あきもと ゆうな）,,1999年,秋本优菜、秋本ゆうな、秋元优奈（引退）
相泽まみ,相沢まみ（あいざわ まみ）,,1999年,（引退）
安里祐加,安里祐加（あさと ゆうか）,,1999年,（引退）
彩花,彩花（あやか）,,1999年,（引退）
新井悠花,新井悠花（あらい ゆうか）,,1999年,（引退）
朝丘まみ,朝丘まみ（あさおか まみ）,,1999年,（引退）
朝仓まりあ,朝倉まりあ（あさくら まりあ）,,1999年,（引退）
雨宫萤,雨宮螢（あまみや けい）,,1999年,（引退）
雨宫琴,雨宮琴（あまみや こと）,,1999年,（引退）
鲇川亚美,鮎川あみ（あゆかわ あみ）,,1999年,（引退）
葵实野理,葵みのり（あおい みのり）,,1999年,（引退）
关保奈美,関保奈美（せき ほなみ）,,1999年,（引退）
渡边なつき,渡辺なつき（わたなべ なつき）,,1999年,
矢口凛香,矢口凛香（やぐち りんか）,,1999年,
柳はるか,柳はるか（やなぎ はるか）,,1999年,
结城かのん,結城かのん（ゆうき かのん）,,1999年,
雪野弥生,雪野弥生（ゆきの やよい）,,1999年,
弓月杏里,弓月杏里（ゆずき あんり）,,1999年,
吉川梨香,吉川梨香（よしかわ りか）,,1999年,
吉田あゆみ,吉田あゆみ（よしだ あゆみ）,,1999年,
吉野ゆうき,吉野ゆうき（よしの ゆうき）,,1999年,
松井はるか,松井はるか（まつい はるか）,,1999年,松本奈美
松坂れいな,松坂れいな（まつざか れいな）,,1999年,
松田有香,松田有香（まつだ ゆうか）,,1999年,
松叶まどか,松葉まどか（まつば- ）,,1999年,三崎 明日香
三浦真纪,三浦真紀（みうら まき）,,1999年,
水树绫乃,水樹綾乃（みずき あやの）,,1999年,
水树香织,水樹香織（みずき かおり）,,1999年,
水野礼子,水野礼子（みずの れいこ）,,1999年,
水森さやか,水森さやか（みずもり ）,,1999年,
水森かづは,水森かづは（みずもり かづは）,,1999年,水森かずは、水森一叶
藤崎 彩花,藤崎 彩花（ふじさき あやか）,,1999年,藤咲 沙耶（ふじさき さや）-藤原伦子
かとりこのみ,（かとりこのみ）,,2000年,
一ノ瀬菜々,一ノ瀬菜々（いちのせ なな）,,2000年,
一色志乃,一色志乃（いっしき しの）,,2000年,南えり?西田有纪
二阶堂里绪,二階堂里緒（にかいどう りお）,,2000年,
七瀬ななみ,七瀬ななみ（ななせ ななみ）,,2000年,
大浦安娜,大浦あんな（おおうら あんな）,,2000年,（引退）
小野寺沙希,小野寺沙希（おのでら さき）,,2000年,（引退）小野寺めぐみ、吉冈恵美、沢尻マリナ
上原舞,上原舞（うえはら まい）,,2000年,（引退）
乃原深雪,乃原深雪（のはら みゆき）,,2000年,
小野寺沙希,小野寺沙希（おのでら さき）,,2000年,小野寺めぐみ、吉冈恵美、沢尻マリナ
川村蓝子,川村藍子（かわむら あいこ）,,2000年,
川村朋美,川村朋美（かわむら ともみ）,,2000年,
川村理沙,川村理沙（かわむら りさ）,,2000年,
久世このは,久世このは（くぜ このは）,,2000年,
久保みなみ,久保みなみ（くぼ みなみ）,,2000年,
小早川まりん,小早川まりん（こばやかわ まりん）,,2000年,
千夏,千夏（ちなつ）,,2000年,
水野里兰,水野里蘭（みずの りら）,,2000年,
中里优奈,中里優奈（なかざと ゆうな）,,2000年,
中谷 あいみ,中谷 あいみ（なかたに あいみ）,,2000年,あいみ-桥本 美歩
中山ひなの,中山ひなの（なかやま ひなの）,,2000年,
今井今日子,今井今日子（いまい きょうこ）,,2000年,（引退）
友崎玲,友崎りん（ともさき りん）,,2000年,（引退）
及川奈央,及川奈央（おいかわ なお）,,2000年,（引退）
幻想华绘,幻想華絵（げんそう はなえ）,,2000年,
手冢美纱,手塚美紗（てづか みさ）,,2000年,
石绘未季,石絵未季（いしえ みき）,,2000年,（引退）
甲贺ひろみ,甲賀ひろみ（こうが ひろみ）,,2000年,
安倍夏树,安倍なつき（あべ なつき）,,2000年,（引退）
宇佐美恭香,うさみ恭香（うさみ きょうか）,,2000年,（引退）
吉井あや,吉井あや（よしい あや）,,2000年,
吉川エミリー,吉川エミリー（よしかわ えみりー）,,2000年,
吉沢萌香,吉沢萌香（よしざわ もえか）,,2000年,
冰咲东子,氷咲東子（ひざき とうこ）,,2000年,
仲山うさぎ,仲山うさぎ（なかやま うさぎ）,,2000年,
冴木里江,冴木里江（さえき りえ）,,2000年,
松坂七恵,松坂七恵（まつざか ななえ）,,2000年,
松沢ひとみ,松沢ひとみ（まつざわ ひとみ）,,2000年,
松嶋ナオミ,松嶋ナオミ（まつしま なおみ）,,2000年,
松田瞳,松田瞳（まつだ ひとみ）,,2000年,
亚美果あゆ,亜美果あゆ（あみか あゆ）,,2000年,
林エリカ,林エリカ（はやし えりか）,,2000年,
相泽玲,相澤玲（あいざわ れい）,,2000年,（引退）
相原夏海,相原 夏海（あいはら なつみ）,,2000年,（引退）
若林树里,若林樹里（わかばやし じゅり）,,2000年,
南かえで,南かえで（みなみ かえで）,,2000年,
南ナミ,南ナミ（みなみ なみ）,,2000年,坂上友香
持田あゆみ,持田あゆみ（もちだ あゆみ）,,2000年,
柏木りかこ,柏木りかこ（かしわぎ りかこ）,,2000年,
星野瑠海,星野瑠海（ほしの るみ）,,2000年,
草莓牛奶,苺みるく（いちご みるく）,,2000年,（逝世）
根室まい,根室まい（ねむろ まい）,,2000年,
真城 丽美,眞城 麗美 （しんじょう れみ）,,2000年,（引退）浅见伽椰（あさみ かや）-香月舞
真咲志穂,真咲志穂（まさき しほ）,,2000年,
真辺かりん,真辺かりん（まなべ かりん）,,2000年,
宫泽ゆうな,宮澤ゆうな（みやざわ ゆうな）,,2000年,
宫下真纪,宮下真紀（みやした まき）,,2000年,
桃井なつみ,桃井なつみ（ももい なつみ）,,2000年,沢口るな
桐岛みやび,桐島みやび（きりしま みやび）,,2000年,
后藤まみ,後藤まみ（ごとう まみ）,,2000年,
后藤美纪,後藤美紀（ごとう みき）,,2000年,
高桥理沙,高橋理沙（たかはし りさ）,,2000年,
渡濑晶,渡瀬晶（わたせ あきら）,,2000年,（引退）
梶原纪香,梶原紀香（かじわら のりか）,,2000年,
野中雪子,野中雪子（のなか ゆきこ）,,2000年,
野宫美忧,野宮美憂（のみや みゆう）,,2000年,冈野美忧
朝河兰,朝河蘭（あさかわ らん）,,2000年,（引退）同武藤兰（2006逝世）
朝比奈リノア,朝比奈リノア（あさひな りのあ）,,2000年,
饭岛美夏夜,飯島 美夏夜（いいじま みかよ）,,2000年,
饭岛丽华,飯島 麗華（いいじま れいか）,,2000年,
结良诗绘,結良詩絵（ゆうら しえ）,,2000年,零 忍（れい しのぶ）
结城あや,結城あや（ゆうき あや）,,2000年,
森田なお,森田なお（もりた なお）,,2000年,圣さやか、伊吹まりあ、沢村奈々
森村なつみ,森村なつみ（もりむら なつみ）,,2000年,
琴野まゆ,琴野まゆ（ことの まゆ）,,2000年,
爱川ひな,愛川ひな(あいかわひな),,2000年,小泉里沙
奥菜つばさ,奥菜つばさ(おきな つばさ),,2000年,川村翼（かわむらつばさ）
梦野しおり,夢野しおり（ゆめの しおり）,,2000年,
远野春希,遠野春希（とおの はるき）,,2000年,
远野小春,遠野小春（とおの こはる）,,2000年,
远峰朋美,遠峰朋美（とおみね ともみ）,,2000年,
碧波しずく,碧波しずく(あおなみ しずく),,2000年,
璃纱,璃紗（りさ）,,2000年,
熊野ぷぅこ,熊野ぷぅこ（くまの ぷぅこ）,,2000年,
绫见志穂,綾見志穂(あやみ しほ),,2000年,
练马カレン,練馬カレン（ねりま かれん）,,2000年,
橘凉子,橘涼子（たちばな りょうこ）,,2000年,
猫野铃,猫野鈴（ねこの すず）,,2000年,
藤堂まき,藤堂まき（とうどう まき）,,2000年,
柠檬,檸檬（れもん）,,2000年,
镜丽子,鏡麗子（かがみ れいこ）,,2000年,
蓝井る加,藍井 る加（あおい るか）,,2000年,
观月あいか,観月あいか（みづき あいか）,,2000年,
观月雏乃,観月ひなの（みづき ひなの）,,2000年,（引退）台湾出身，本名：彭宣蓉
叶不二子,叶不二子（かのう ふじこ）,,2001年,（引退）同蒲川里沙
山口玲子 (AV女优),山口玲子（やまぐち れいこ）,,2001年,
倖田李梨,倖田李梨（こうだ りり）,,2001年,同岩下美季(いわした みき)左海未来(さかい みき)-倖田美梨(こうだ みり)
田畑百子,田畑百子（つばさ ゆうか）,,2001年,
西田美沙,西田美沙（にしだ みさ）,,2001年,（引退）
堤沙也加,堤さやか（つつみ さやか）,,2001年,81 - 54 - 81 D（引退）
大泽惠,大澤恵（おおさわ めぐみ）,,2001年,（引退）
祐希香帆,祐希香帆（ゆうき かほ）,,2001年,（引退）
汤川えり,湯川えり（ゆかわ えり）,,2001年,90 - 58 - 85（引退）
游佐七海,遊佐七海（ゆさ ななみ）,,2001年,88 - 58 - 82 F（引退）
由月理帆,由月理帆（ゆづき りほ）,,2001年,83 - 59 - 80 E（引退）
吉井爱美,吉井愛美（よしい まなみ）,,2001年,水沢翔子（引退）
高田のり,高田のり（たかだ のり）,,2001年,（引退）
高野まりえ,高野まりえ（たかの まりえ）,,2001年,83 - 57 - 85 C （引退）
高见凉,高見涼（たかみ りょう）,,2001年,（引退）
竹内优美子,竹内優美子（たけうち ゆみこ）,,2001年,83 - 60 - 86 C（引退）
武田まこ,武田まこ（たけだ まこ）,,2001年,（引退）
武村リナ,武村リナ（たけむら りな）,,2001年,（引退）
田原あゆみ,田原あゆみ（たはら あゆみ）,,2001年,本名：伊藤 茧子（いとう まゆこ）84 - 58 - 80 C（引退）
田丸爱,田丸愛（たまる あい）,,2001年,90 - 59 - 88（引退）
デヴィ,（デヴィ）,,2001年,（引退）
寺嶋小春,寺嶋小春（てらしま こはる）,,2001年,（引退）
常盘优子,常盤優子（ときわ ゆうこ）,,2001年,水咲 ありみ（みずさき ありみ）88 - 60 - 85 E（引退）
内藤花苗,内藤花苗（ないとう かなえ）,,2001年,83 - 56 - 80 B（引退）
永井絵理香,永井絵理香（ながい えりか）,,2001年,（引退）藤本さおり
中嶋ルイ,中嶋ルイ（なかじま るい）,,2001年,（引退）
中森蓝子,中森藍子（なかもり あいこ）,,2001年,（引退）
中山ゆい,中山ゆい（なかやま ゆい）,,2001年,（引退）
なごみもえ,(なごみもえ）,,2001年,（引退）85 - 58 - 87 D
夏树亜矢,夏樹亜矢（なつき あや）,,2001年,（引退）
夏树ちえり,夏樹ちえり（なつき ちえり）,,2001年,（引退）
夏木美夕,夏木美夕（なつき みゆ）,,2001年,（引退）
奈々瀬あい,奈々瀬あい（ななせ あい）,,2001年,（引退）
沼野アリス,沼野アリス（ぬまの ありす）,,2001年,（引退）
根室ゆきほ,根室ゆきほ（ねむろ ゆきほ）,,2001年,（引退）
乃南葵,乃南葵（のなみ あおい）,,2001年,（引退）
长谷川瞳,長谷川瞳（はせがわ ひとみ）,,2001年,90 - 58 - 87 E（引退）
早坂瞳,早坂ひとみ（はやさか ひとみ）,,2001年,83 - 59 - 85 C（引退）
早坂みく,早坂みく（はやさか みく）,,2001年,（引退）
叶山みづき,葉山みづき（はやま みづき）,,2001年,90 - 60 - 90 E（引退）
星咲爱理,星咲愛理（ほしさき あいり）,,2001年,86 - 58 - 85 D（引退）
星崎未来,星崎未来（ほしざき みらい）,,2001年,92 - 54 - 85 F（引退）
星野流宇,星野流宇（ほしの るう）,,2001年,87 - 58 - 86 E（引退）
松田みみ,松田みみ（まつだ みみ）,,2001年,（引退）
美咲爱,美咲愛（みさき あい）,,2001年,（引退）
岬じゅん,岬じゅん（みさき じゅん）,,2001年,（引退）
みさき理絵,みさき理絵（みさき りえ）,,2001年,（引退）
水咲凉子,水咲涼子（みずさき りょうこ）,,2001年,88 - 58 - 84（引退）
水沢优那,水沢ゆうな（みずさわ ゆうな）,,2001年,（引退）
水嶋彩,水嶋彩（みずしま あや）,,2001年,78 - 54 - 84 D（引退）
水原朋美,水原朋美（みずはら ともみ）,,2001年,（引退）
南结衣,南結衣（みなみゆい）,,2001年,83 - 56 - 83 C（引退）
宫内みゆ,宮内みゆ（みやうち みゆ）,,2001年,（引退）
深芳野,深芳野（みよしの）,,2001年,86 - 56 - 84 F（引退）
望月舞,望月舞（もちづき まい）,,2001年,（引退）
早乙女つくし,早乙女つくし（さおとめ つくし）,,2001年,（引退）
榊うらら,榊うらら（さかき）,,2001年,（引退）
佐々木爱子,佐々木愛子（ささき あいこ）,,2001年,（引退）
瀬名えみり,瀬名えみり（せな えみり）,,2001年,（引退）江川瀬奈-塩田结衣-えみり
瀬名凉子,瀬名涼子（せな りょうこ）,,2001年,（引退）星川龙美-星川たつみ-星野いずみ-桜木瑠璃子-町田早纪-松本リカ
园部りか,園部りか（そのべ りか）,,2001年,（引退）
かぐやひめ,（かぐやひめ）,,2001年,（引退）
加护あいり,加護あいり（かご あいり）,,2001年,（引退）88 - 58 - 86
梶田さくら,梶田さくら（かじた さくら）,,2001年,（引退）
和见あい,和見あい（かずみ あい）,,2001年,（引退）
片桐ゆう,片桐ゆう（かたぎり ゆう）,,2001年,（引退）
加藤由纪子,加藤由紀子（かとう ゆきこ）,,2001年,（引退）
叶丽美,叶麗美（かのう れいみ）,,2001年,（引退）95 - 58 - 87 H
菅野蕾,菅野つぼみ（かんの つぼみ）,,2001年,（引退）
树木らら,樹木らら（きき らら）,,2001年,（引退）
菊池あゆな,菊池あゆな（きくち あゆな）,,2001年,（引退）
菊池麻衣子,菊池麻衣子（きくち まいこ）,,2001年,（引退）
来生ひかり,来生ひかり（きすぎ ひかり）,,2001年,（引退）
木下いつき,木下いつき（きのした いつき）,,2001年,（引退）
草壁夕子,草壁夕子（くさかべ ゆうこ）,,2001年,（引退）
楠木沙耶香,楠木さやか（くすのき さやか）,,2001年,（引退）楠 さやか
工藤葵,工藤葵（くどう あおい）,,2001年,（引退）ミュウ、夏目ミュウ、春川リサ、夏目衣织
小泉ゆり,小泉ゆり（こいずみ ゆり）,,2001年,（引退）
乙伊沙耶香,乙伊さやか（おとい さやか）,,2001年,（引退）
萩原沙耶香,萩原さやか（はぎわら さやか）,,2001年,（引退）同荻原沙耶香
广濑奈央美,広瀬奈央美（ひろせ なおみ）,,2002年,（引退）
苍井空,蒼井そら（あおい そら）,,2002年,（引退）
江口 美贵,（えぐち みき）,,2002年,（引退）
松岛枫,松島かえで（まつしま かえで）,,2002年,（引退）
酒井千奈美,酒井ちなみ（さかい ちなみ）,,2002年,
高树玛利亚,高樹マリア（たかぎ まりあ）,,2002年,（引退）
野原玲,野原りん（のはら りん）,,2002年,（引退）
美竹凉子,美竹涼子（みたけ りょうこ）,,2002年,（引退）
小泽菜穗,小沢菜穂（おざわ なほ）,,2002年,（引退）
黑崎扇菜,黒崎扇菜（くろさき せんな）,,2002年,（引退）
纹舞兰,紋舞らん（もんぶ らん）,,2002年,（引退）
京乃梓,京乃あづさ（きょうの あづさ）,,2002年,
柳田弥生,柳田やよい（やなぎだ やよい）,,2002年,
伊东怜,伊東怜（いとう れい）,,2002年,（引退）
南波杏,南波杏（なんば あん）,,2002年,（引退）
白石日和,白石ひより（しらいし ひより）,,2002年,（引退）
大石彩香,大石あやか（おおいし あやか）,,2002年,（引退）
友田真希,友田真希（ともだ まき）,,2002年,2013引退-2016复出
石原绘理子,石原絵理子（いしはら えりこ）,,2002年,（引退）
常盘樱子,常盤桜子（ときわ さくらこ）,,2002年,（引退）
薰樱子,薫桜子（かおる さくらこ）,,2002年,
桃井望,桃井望（ももい のぞみ）,,2002年,（逝世）
平泽里菜子,平沢 里菜子〈ひらさわ · りなこ〉,,2003年,2006年引退
村上凉子,村上凉子(むらかみ りょうこ）,,2003年,曾以艺名中村りかこ和黒木菜穂活动
三津夏海,三津なつみ(みつなつみ),,2003年,2011年8月以艺名爱田奈奈(あいだ なな)复出-又名:武藤 由来
藤井彩,藤井彩（ふじい あや）,,2003年,（引退）
MECUMI,MECUMI（めくみ，Megumi）,,2003年,（引退）同田中爱、仲里爱
小仓艾莉丝,小倉ありす（おぐら ありす）,,2003年,（引退）
吉泽明步,吉沢明歩（よしざわ あきほ）,,2003年,
小森美树,小森美樹（こもり みき）,,2003年,
紫彩乃,紫彩乃（むらさき あやの）,,2003年,
杉浦美由,杉浦美由（すぎうら みゆ）,,2003年,（引退）同叶山みなみ
奈绪,nao.（なおどっと）,,2003年,同小池瞳
青木玲,青木玲（あおき れい）,,2003年,（引退后08年复出）
凉果淋,涼果りん（すずか りん）,,2003年,（引退）
香山圣,香山聖（かやま ひじり）,,2003年,（引退）
濑户由衣,瀬戸由衣（せと ゆい）,,2003年,（引退）
樱朱音,桜朱音（さくら あかね）,,2003年,（引退）
樱田樱,桜田さくら（さくらだ さくら）,,2003年,（引退）
蓝山南,藍山みなみ（あおやま みなみ）,,2003年,
中岛京子,中島京子（なかじま きょうこ）,,2003年,（引退）
水元优奈,水元ゆうな（みずもと ゆうな）,,2003年,
君嶋萌,君嶋もえ（きみしま もえ）,,2003年,（引退）
长谷川美红,長谷川美紅（はせがわ みく）,,2003年,
古都光,古都ひかる（こと ひかる）,,2003年,（引退）
小泉彩,小泉彩（こいずみ あや）,,2003年,同里美ゆりあ
星艾莉丝,星ありす（ほし ありす）,,2003年,
白鸟樱,白鳥 さくら（しらとり さくら）,,2003年,（引退）
菅野亚梨沙,菅野亜梨沙（かんの ありさ）,,2004年,（引退）
萩原舞,萩原舞（はぎわら まい）,,2004年,
星野飞鸟,星野 あすか（ほしの あすか）,,2004年,（引退）
凛,Rin.（りんどっと）,,2004年,
大冢咲,大塚咲（おおつか さき）,,2004年,
小泉优香,小泉ゆうか（こいずみ ゆうか）,,2004年,（引退）
持田茜,持田茜（もちだ あかね）,,2004年,（引退）
小峰由衣,小峰由衣（あだち みく）,,2004年,
原千寻,原千尋（はら ちひろ）,,2004年,
芹泽直美,芹沢直美（せりざわ なおみ）,,2004年,
二宫沙树,二宮沙樹（にのみや さき）,,2004年,
桃子美优,ももこみゆ（ももこ みゆ）,,2004年,（引退）
爱田由,あいだゆあ（あいだ ゆあ）,,2004年,（引退）
阿立未来,阿立未来（あだち みく）,,2004年,（引退）2007年复出
黑木麻衣,黒木麻衣（くろき まい）,,2004年,同花野真衣
乃亚,乃亜（のあ）,,2004年,
唯川纯,唯川純（ゆいかわ じゅん）,,2004年,（引退）
麻川丽,麻川麗（あさかわ れい）,,2004年,
天衣美津,天衣みつ（あまい みつ）,,2004年,（引退）同泷泽美铃
穗花,穂花（ほのか）,,2004年,（引退）
天宫真奈美,天宮まなみ（あまみや まなみ）,,2004年,（引退）
泷泽优奈,滝沢優奈（たきざわ ゆうな）,,2004年,
西野翔,西野翔（にしの しょう）,,2004年,
相泽唯衣,相澤唯衣（あいざわ ゆい）,,2004年,
北川绘美,北川絵美（きたがわ えみ）,,2004年,（引退）
芽菜,芽菜（めいな）,,2004年,
黑泽英里奈,黒沢英里奈（くろさわ えりな）,,2004年,同喜田嶋理绪
水朝美树,水朝美樹（みずあさ みき）,,2004年,
藤泽麻理,藤沢マリ（ふじさわ まり）,,2004年,（引退）
立花里子,立花里子（たちばな りこ）,,2004年,（引退）
夏目奈奈,夏目ナナ（なつめ なな）,,2004年,（引退）
爱原理彩,愛原理彩（あいはら りさ）,,2004年,
星Ryo,星りょう（ほしりょう）,,2004年,
红音萤,紅音 ほたる（あかね ほたる）,,2004年,（逝世）同秋月杏奈、秋本彩
北岛优,北島 優（きたじま ゆう）,,2004年,（引退）
爱内萌,愛内 萌（あいうち もえ）,,2004年,（引退）
川上优,川上 ゆう（かわかみ ゆう）,,2004年,
柚木蒂娜,柚木ティナ,,2005年,英语：Rio
吉川 萌,よしかわ もえ,,2005年,大沢 萌〔日语：おおさわ もえ、英语：Osawa Moe〕
佐佐木风香,ささき ふう香（ささき ふうか）,,2005年,
水城奈绪,みずき なお,,2005年,〔日语：みずき なお、英语：Mizuki Nao〕
野宫凛子,野宮凛子（のみや りんこ）,,2005年,同高岛千代子〈Takashima Chiyoko〉
青山 爱,あおやま あい,,2005年,别名：冢井顺子、つかい じゅんこ、Tsykai Junko
穗香（Mihiro）,みひろ,,2005年,（引退）同朝美穗香
美咲沙耶,美咲沙耶（みさき さや）,,2005年,（上吊自杀）
丘咲爱米莉,丘咲エミリ（おかざき えみり）,,2005年,
神谷姬,神谷姫（かみや ひめ）,,2005年,（引退）
里绪,Rio（りお）,,2005年,（引退）同柚木ティナ
芦名未帆,芦名未帆（あしな みほ）,,2005年,别名：稲森 しほり（汐里）（いなもり しおり，Inamori siori）
樱井梨花,桜井梨花（さくらい りか）,,2005年,
姬野爱,姫野愛（ひめの あい）,,2005年,
早川濑里奈,早川瀬里奈（はやかわ せりな）,,2005年,
晶爱丽,晶エリー（あきら えりー）,,2005年,同大泽佑香、西川瞳 （引退）
天海丽,天海麗（あまみ れい）,,2005年,（引退）
辻本凉,辻本りょう（つじもと りょう）,,2005年,
铃木杏里,鈴木杏里（すずき あんり）,,2005年,（引退）
星野明,星野あかり（ほしの あかり）,,2005年,
麻美由真,麻美ゆま（あさみ ゆま）,,2005年,(引退)
长泽筑实,長澤つぐみ（ながさわ つぐみ）,,2005年,
小泽玛丽亚,小澤マリア（おざわ まりあ）,,2005年,
妃乃光,妃乃ひかり（ひの ひかり）,,2005年,
泽井真帆,沢井真帆（さわい まほ）,,2005年,（引退）
香澄果穗,かすみ果穂（かすみ かほ）,,2005年,（引退）
麻生岬,麻生岬（あそう みさき）,,2005年,（引退）
峰奈由果,峰なゆか（みね なゆか）,,2005年,（引退）
伊泽千夏,伊沢千夏（いざわ ちなつ）,,2005年,
叶月奈穗,葉月奈穂（はずき なほ）,,2005年,
神谷美雪,神谷美雪（かみや みゆき）,,2005年,（引退）
翔田千里,翔田千里（しょうだ ちさと）,,2005年,(引退)
菜菜美宁,菜菜美ねい（ななみ ねい）,,2005年,同田中美久
松野由井,松野ゆい（まつの ゆい）,,2005年,（引退）
佐藤江梨花,佐藤江梨花（さとう えりか）,,2005年,
吉崎直绪,吉崎直緒（よしざき なお）,,2005年,（引退）
小川阿佐美,小川あさ美（おがわ あさみ）,,2005年,（引退）
清原凉,清原りょう（きよはら りょう）,,2005年,
日野雫,日野雫（ひの しずく）,,2005年,（引退）
爱理和美理,（あいり&めいり）,,2005年,
朝比奈春,朝比奈 ハル（あさひな はる）,,2005年,（引退）
樱纱希,さくら 紗希（さくら さき）,,2005年,
糸矢芽衣,糸矢めい（いとや めい）,,2006年,（引退）
君野梦,君野 ゆめ（きみの ゆめ）,,2006年,（引退）
木村那美,木村那美（きむら なみ）,,2006年,
铃木里美,鈴木 さとみ(すずきさとみ),,2006年,以(浅田真美)名义出道
北原多香子,北原多香子（きたはら たかこ）,,2006年,（引退）
竹内爱,竹内あい（たけうち あい）,,2006年,（引退）
北条麻妃,北条麻妃（ほうじょう まき）,,2006年,同白石小百合
小坂惠,小坂めぐる（こさか めぐる）,,2006年,Meguru Kosaka（引退）
